,tipo_suelo,anio,num_incendios,area_km2_tipo_suelo,incendios_cada_km2
0,"Selva baja perennifolia, subperennifolia y espinosa",2000,1,1016110.4077329092,9.841450224204929e-07
1,"Selva baja perennifolia, subperennifolia y espinosa",2001,27,1016110.4077329092,2.6571915605353305e-05
2,"Selva baja perennifolia, subperennifolia y espinosa",2002,44,1016110.4077329092,4.3302380986501685e-05
3,"Selva baja perennifolia, subperennifolia y espinosa",2003,221,1016110.4077329092,0.0002174960499549289
4,"Selva baja perennifolia, subperennifolia y espinosa",2004,102,1016110.4077329092,0.00010038279228689027
5,"Selva baja perennifolia, subperennifolia y espinosa",2005,145,1016110.4077329092,0.00014270102825097146
6,"Selva baja perennifolia, subperennifolia y espinosa",2006,123,1016110.4077329092,0.00012104983775772062
7,"Selva baja perennifolia, subperennifolia y espinosa",2007,129,1016110.4077329092,0.00012695470789224358
8,"Selva baja perennifolia, subperennifolia y espinosa",2008,154,1016110.4077329092,0.0001515583334527559
9,"Selva baja perennifolia, subperennifolia y espinosa",2009,205,1016110.4077329092,0.00020174972959620104
10,"Selva baja perennifolia, subperennifolia y espinosa",2010,132,1016110.4077329092,0.00012990714295950506
11,"Selva baja perennifolia, subperennifolia y espinosa",2011,264,1016110.4077329092,0.0002598142859190101
12,"Selva baja perennifolia, subperennifolia y espinosa",2012,92,1016110.4077329092,9.054134206268533e-05
13,"Selva baja perennifolia, subperennifolia y espinosa",2013,246,1016110.4077329092,0.00024209967551544123
14,"Selva baja perennifolia, subperennifolia y espinosa",2014,57,1016110.4077329092,5.609626627796809e-05
15,"Selva baja perennifolia, subperennifolia y espinosa",2015,171,1016110.4077329092,0.00016828879883390427
16,"Selva baja perennifolia, subperennifolia y espinosa",2016,172,1016110.4077329092,0.00016927294385632476
17,"Selva baja perennifolia, subperennifolia y espinosa",2017,290,1016110.4077329092,0.0002854020565019429
18,"Selva baja perennifolia, subperennifolia y espinosa",2018,97,1016110.4077329092,9.54620671747878e-05
19,"Selva baja perennifolia, subperennifolia y espinosa",2019,220,1016110.4077329092,0.00021651190493250842
20,"Manejo agricola, pecuario y forestal (plantaciones)",2000,15,900196336.2952371,1.6663031602341975e-08
21,"Manejo agricola, pecuario y forestal (plantaciones)",2001,566,900196336.2952371,6.287517257950372e-07
22,"Manejo agricola, pecuario y forestal (plantaciones)",2002,828,900196336.2952371,9.197993444492771e-07
23,"Manejo agricola, pecuario y forestal (plantaciones)",2003,1828,900196336.2952371,2.0306681179387422e-06
24,"Manejo agricola, pecuario y forestal (plantaciones)",2004,1115,900196336.2952371,1.2386186824407535e-06
25,"Manejo agricola, pecuario y forestal (plantaciones)",2005,1840,900196336.2952371,2.043998543220616e-06
26,"Manejo agricola, pecuario y forestal (plantaciones)",2006,1397,900196336.2952371,1.5518836765647827e-06
27,"Manejo agricola, pecuario y forestal (plantaciones)",2007,1271,900196336.2952371,1.41191421110511e-06
28,"Manejo agricola, pecuario y forestal (plantaciones)",2008,1517,900196336.2952371,1.6851879293835184e-06
29,"Manejo agricola, pecuario y forestal (plantaciones)",2009,1643,900196336.2952371,1.8251573948431912e-06
30,"Manejo agricola, pecuario y forestal (plantaciones)",2010,1140,900196336.2952371,1.26639040177799e-06
31,"Manejo agricola, pecuario y forestal (plantaciones)",2011,1826,900196336.2952371,2.0284463803917634e-06
