,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo_x,incendios_cada_km2,area_km2_tipo_suelo_y
0,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-05,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
1,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-09,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
2,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-10,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
3,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-28,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
4,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-29,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
5,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-04,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
6,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-06,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
7,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
8,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-13,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
9,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-18,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
10,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-20,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
11,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-22,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
12,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-23,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
13,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-27,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
14,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-05,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
15,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
16,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-08,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
17,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-11,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
18,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-19,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
19,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-22,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
20,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-24,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
21,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-25,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
22,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-28,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
23,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-31,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
24,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-04,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
25,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-08,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
26,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-09,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
27,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-10,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
