,ecorregion_nivel_1,fecha,num_incendios,area_km2_ecorregiones,incendios_cada_km2
0,Elevaciones Semiaridas Meridionales,2000-11-05,1,453940974.5789417,2.2029295789558583e-09
1,Elevaciones Semiaridas Meridionales,2000-11-09,1,453940974.5789417,2.2029295789558583e-09
2,Elevaciones Semiaridas Meridionales,2000-11-28,1,453940974.5789417,2.2029295789558583e-09
3,Elevaciones Semiaridas Meridionales,2000-12-07,1,453940974.5789417,2.2029295789558583e-09
4,Elevaciones Semiaridas Meridionales,2000-12-23,1,453940974.5789417,2.2029295789558583e-09
5,Elevaciones Semiaridas Meridionales,2001-01-05,1,453940974.5789417,2.2029295789558583e-09
6,Elevaciones Semiaridas Meridionales,2001-01-08,1,453940974.5789417,2.2029295789558583e-09
7,Elevaciones Semiaridas Meridionales,2001-01-16,1,453940974.5789417,2.2029295789558583e-09
8,Elevaciones Semiaridas Meridionales,2001-01-22,1,453940974.5789417,2.2029295789558583e-09
9,Elevaciones Semiaridas Meridionales,2001-01-24,2,453940974.5789417,4.405859157911717e-09
10,Elevaciones Semiaridas Meridionales,2001-02-11,2,453940974.5789417,4.405859157911717e-09
11,Elevaciones Semiaridas Meridionales,2001-02-15,1,453940974.5789417,2.2029295789558583e-09
12,Elevaciones Semiaridas Meridionales,2001-02-18,1,453940974.5789417,2.2029295789558583e-09
13,Elevaciones Semiaridas Meridionales,2001-02-23,1,453940974.5789417,2.2029295789558583e-09
14,Elevaciones Semiaridas Meridionales,2001-03-13,2,453940974.5789417,4.405859157911717e-09
15,Elevaciones Semiaridas Meridionales,2001-03-19,1,453940974.5789417,2.2029295789558583e-09
16,Elevaciones Semiaridas Meridionales,2001-03-20,1,453940974.5789417,2.2029295789558583e-09
17,Elevaciones Semiaridas Meridionales,2001-03-25,2,453940974.5789417,4.405859157911717e-09
18,Elevaciones Semiaridas Meridionales,2001-03-27,2,453940974.5789417,4.405859157911717e-09
19,Elevaciones Semiaridas Meridionales,2001-03-29,3,453940974.5789417,6.608788736867575e-09
20,Elevaciones Semiaridas Meridionales,2001-03-30,2,453940974.5789417,4.405859157911717e-09
21,Elevaciones Semiaridas Meridionales,2001-04-02,7,453940974.5789417,1.542050705269101e-08
22,Elevaciones Semiaridas Meridionales,2001-04-05,2,453940974.5789417,4.405859157911717e-09
23,Elevaciones Semiaridas Meridionales,2001-04-07,2,453940974.5789417,4.405859157911717e-09
24,Elevaciones Semiaridas Meridionales,2001-04-09,1,453940974.5789417,2.2029295789558583e-09
25,Elevaciones Semiaridas Meridionales,2001-04-10,1,453940974.5789417,2.2029295789558583e-09
26,Elevaciones Semiaridas Meridionales,2001-04-11,1,453940974.5789417,2.2029295789558583e-09
27,Elevaciones Semiaridas Meridionales,2001-04-14,5,453940974.5789417,1.1014647894779291e-08
28,Elevaciones Semiaridas Meridionales,2001-04-16,1,453940974.5789417,2.2029295789558583e-09
29,Elevaciones Semiaridas Meridionales,2001-04-25,1,453940974.5789417,2.2029295789558583e-09
30,Elevaciones Semiaridas Meridionales,2001-05-02,2,453940974.5789417,4.405859157911717e-09
31,Elevaciones Semiaridas Meridionales,2001-05-07,2,453940974.5789417,4.405859157911717e-09
32,Elevaciones Semiaridas Meridionales,2001-05-11,1,453940974.5789417,2.2029295789558583e-09
33,Elevaciones Semiaridas Meridionales,2001-05-16,1,453940974.5789417,2.2029295789558583e-09
34,Elevaciones Semiaridas Meridionales,2001-05-18,2,453940974.5789417,4.405859157911717e-09
35,Elevaciones Semiaridas Meridionales,2001-05-21,2,453940974.5789417,4.405859157911717e-09
36,Elevaciones Semiaridas Meridionales,2001-05-24,2,453940974.5789417,4.405859157911717e-09
37,Elevaciones Semiaridas Meridionales,2001-05-25,1,453940974.5789417,2.2029295789558583e-09
38,Elevaciones Semiaridas Meridionales,2001-05-27,2,453940974.5789417,4.405859157911717e-09
39,Elevaciones Semiaridas Meridionales,2001-05-31,2,453940974.5789417,4.405859157911717e-09
40,Elevaciones Semiaridas Meridionales,2001-11-12,1,453940974.5789417,2.2029295789558583e-09
41,Elevaciones Semiaridas Meridionales,2001-12-01,1,453940974.5789417,2.2029295789558583e-09
42,Elevaciones Semiaridas Meridionales,2001-12-03,3,453940974.5789417,6.608788736867575e-09
43,Elevaciones Semiaridas Meridionales,2002-01-24,1,453940974.5789417,2.2029295789558583e-09
44,Elevaciones Semiaridas Meridionales,2002-02-19,2,453940974.5789417,4.405859157911717e-09
45,Elevaciones Semiaridas Meridionales,2002-03-07,1,453940974.5789417,2.2029295789558583e-09
46,Elevaciones Semiaridas Meridionales,2002-03-09,5,453940974.5789417,1.1014647894779291e-08
47,Elevaciones Semiaridas Meridionales,2002-03-11,2,453940974.5789417,4.405859157911717e-09
48,Elevaciones Semiaridas Meridionales,2002-03-17,2,453940974.5789417,4.405859157911717e-09
49,Elevaciones Semiaridas Meridionales,2002-03-18,1,453940974.5789417,2.2029295789558583e-09
50,Elevaciones Semiaridas Meridionales,2002-04-03,2,453940974.5789417,4.405859157911717e-09
51,Elevaciones Semiaridas Meridionales,2002-04-05,1,453940974.5789417,2.2029295789558583e-09
52,Elevaciones Semiaridas Meridionales,2002-04-21,1,453940974.5789417,2.2029295789558583e-09
53,Elevaciones Semiaridas Meridionales,2002-04-24,1,453940974.5789417,2.2029295789558583e-09
54,Elevaciones Semiaridas Meridionales,2002-04-26,1,453940974.5789417,2.2029295789558583e-09
55,Elevaciones Semiaridas Meridionales,2002-04-30,1,453940974.5789417,2.2029295789558583e-09
56,Elevaciones Semiaridas Meridionales,2002-05-02,1,453940974.5789417,2.2029295789558583e-09
57,Elevaciones Semiaridas Meridionales,2002-05-03,1,453940974.5789417,2.2029295789558583e-09
58,Elevaciones Semiaridas Meridionales,2002-05-05,2,453940974.5789417,4.405859157911717e-09
59,Elevaciones Semiaridas Meridionales,2002-05-07,2,453940974.5789417,4.405859157911717e-09
60,Elevaciones Semiaridas Meridionales,2002-05-08,3,453940974.5789417,6.608788736867575e-09
61,Elevaciones Semiaridas Meridionales,2002-05-10,1,453940974.5789417,2.2029295789558583e-09
62,Elevaciones Semiaridas Meridionales,2002-05-12,3,453940974.5789417,6.608788736867575e-09
63,Elevaciones Semiaridas Meridionales,2002-05-14,2,453940974.5789417,4.405859157911717e-09
64,Elevaciones Semiaridas Meridionales,2002-05-21,1,453940974.5789417,2.2029295789558583e-09
65,Elevaciones Semiaridas Meridionales,2002-05-23,1,453940974.5789417,2.2029295789558583e-09
66,Elevaciones Semiaridas Meridionales,2002-06-05,4,453940974.5789417,8.811718315823433e-09
67,Elevaciones Semiaridas Meridionales,2002-06-06,3,453940974.5789417,6.608788736867575e-09
68,Elevaciones Semiaridas Meridionales,2002-06-07,1,453940974.5789417,2.2029295789558583e-09
69,Elevaciones Semiaridas Meridionales,2002-06-08,3,453940974.5789417,6.608788736867575e-09
70,Elevaciones Semiaridas Meridionales,2002-06-09,1,453940974.5789417,2.2029295789558583e-09
71,Elevaciones Semiaridas Meridionales,2002-06-13,1,453940974.5789417,2.2029295789558583e-09
72,Elevaciones Semiaridas Meridionales,2002-06-14,3,453940974.5789417,6.608788736867575e-09
73,Elevaciones Semiaridas Meridionales,2002-06-20,5,453940974.5789417,1.1014647894779291e-08
74,Elevaciones Semiaridas Meridionales,2002-06-22,1,453940974.5789417,2.2029295789558583e-09
75,Elevaciones Semiaridas Meridionales,2002-06-24,3,453940974.5789417,6.608788736867575e-09
76,Elevaciones Semiaridas Meridionales,2002-06-26,1,453940974.5789417,2.2029295789558583e-09
77,Elevaciones Semiaridas Meridionales,2002-06-27,1,453940974.5789417,2.2029295789558583e-09
78,Elevaciones Semiaridas Meridionales,2002-07-01,2,453940974.5789417,4.405859157911717e-09
79,Elevaciones Semiaridas Meridionales,2002-07-02,1,453940974.5789417,2.2029295789558583e-09
80,Elevaciones Semiaridas Meridionales,2002-07-04,4,453940974.5789417,8.811718315823433e-09
81,Elevaciones Semiaridas Meridionales,2002-07-06,1,453940974.5789417,2.2029295789558583e-09
82,Elevaciones Semiaridas Meridionales,2002-07-07,2,453940974.5789417,4.405859157911717e-09
83,Elevaciones Semiaridas Meridionales,2002-08-08,1,453940974.5789417,2.2029295789558583e-09
84,Elevaciones Semiaridas Meridionales,2002-09-10,1,453940974.5789417,2.2029295789558583e-09
85,Elevaciones Semiaridas Meridionales,2002-11-04,1,453940974.5789417,2.2029295789558583e-09
86,Elevaciones Semiaridas Meridionales,2002-11-19,1,453940974.5789417,2.2029295789558583e-09
87,Elevaciones Semiaridas Meridionales,2002-11-22,1,453940974.5789417,2.2029295789558583e-09
88,Elevaciones Semiaridas Meridionales,2002-11-24,1,453940974.5789417,2.2029295789558583e-09
89,Elevaciones Semiaridas Meridionales,2002-12-01,1,453940974.5789417,2.2029295789558583e-09
90,Elevaciones Semiaridas Meridionales,2002-12-03,2,453940974.5789417,4.405859157911717e-09
91,Elevaciones Semiaridas Meridionales,2002-12-05,5,453940974.5789417,1.1014647894779291e-08
92,Elevaciones Semiaridas Meridionales,2002-12-06,3,453940974.5789417,6.608788736867575e-09
93,Elevaciones Semiaridas Meridionales,2002-12-10,4,453940974.5789417,8.811718315823433e-09
94,Elevaciones Semiaridas Meridionales,2002-12-11,1,453940974.5789417,2.2029295789558583e-09
95,Elevaciones Semiaridas Meridionales,2002-12-17,6,453940974.5789417,1.321757747373515e-08
96,Elevaciones Semiaridas Meridionales,2002-12-19,1,453940974.5789417,2.2029295789558583e-09
97,Elevaciones Semiaridas Meridionales,2002-12-21,1,453940974.5789417,2.2029295789558583e-09
98,Elevaciones Semiaridas Meridionales,2002-12-22,1,453940974.5789417,2.2029295789558583e-09
99,Elevaciones Semiaridas Meridionales,2002-12-31,1,453940974.5789417,2.2029295789558583e-09
100,Elevaciones Semiaridas Meridionales,2003-01-09,1,453940974.5789417,2.2029295789558583e-09
101,Elevaciones Semiaridas Meridionales,2003-01-22,2,453940974.5789417,4.405859157911717e-09
102,Elevaciones Semiaridas Meridionales,2003-01-23,1,453940974.5789417,2.2029295789558583e-09
103,Elevaciones Semiaridas Meridionales,2003-01-25,2,453940974.5789417,4.405859157911717e-09
104,Elevaciones Semiaridas Meridionales,2003-02-05,1,453940974.5789417,2.2029295789558583e-09
105,Elevaciones Semiaridas Meridionales,2003-02-06,1,453940974.5789417,2.2029295789558583e-09
106,Elevaciones Semiaridas Meridionales,2003-02-10,1,453940974.5789417,2.2029295789558583e-09
107,Elevaciones Semiaridas Meridionales,2003-02-14,1,453940974.5789417,2.2029295789558583e-09
108,Elevaciones Semiaridas Meridionales,2003-02-19,5,453940974.5789417,1.1014647894779291e-08
109,Elevaciones Semiaridas Meridionales,2003-02-21,3,453940974.5789417,6.608788736867575e-09
110,Elevaciones Semiaridas Meridionales,2003-02-26,2,453940974.5789417,4.405859157911717e-09
111,Elevaciones Semiaridas Meridionales,2003-02-28,1,453940974.5789417,2.2029295789558583e-09
112,Elevaciones Semiaridas Meridionales,2003-03-02,1,453940974.5789417,2.2029295789558583e-09
113,Elevaciones Semiaridas Meridionales,2003-03-04,4,453940974.5789417,8.811718315823433e-09
114,Elevaciones Semiaridas Meridionales,2003-03-05,1,453940974.5789417,2.2029295789558583e-09
115,Elevaciones Semiaridas Meridionales,2003-03-07,3,453940974.5789417,6.608788736867575e-09
