,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo,incendios_cada_km2
0,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-05,1,900196336.2952371,1.110868773489465e-09
1,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-09,1,900196336.2952371,1.110868773489465e-09
2,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-10,1,900196336.2952371,1.110868773489465e-09
3,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-28,1,900196336.2952371,1.110868773489465e-09
4,"Manejo agricola, pecuario y forestal (plantaciones)",2000-11-29,1,900196336.2952371,1.110868773489465e-09
5,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-04,2,900196336.2952371,2.22173754697893e-09
6,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-06,1,900196336.2952371,1.110868773489465e-09
7,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-07,1,900196336.2952371,1.110868773489465e-09
8,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-13,1,900196336.2952371,1.110868773489465e-09
9,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-18,1,900196336.2952371,1.110868773489465e-09
10,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-20,1,900196336.2952371,1.110868773489465e-09
11,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-22,1,900196336.2952371,1.110868773489465e-09
12,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-23,1,900196336.2952371,1.110868773489465e-09
13,"Manejo agricola, pecuario y forestal (plantaciones)",2000-12-27,1,900196336.2952371,1.110868773489465e-09
14,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-05,1,900196336.2952371,1.110868773489465e-09
15,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-07,1,900196336.2952371,1.110868773489465e-09
16,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-08,1,900196336.2952371,1.110868773489465e-09
17,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-11,1,900196336.2952371,1.110868773489465e-09
18,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-19,1,900196336.2952371,1.110868773489465e-09
19,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-22,1,900196336.2952371,1.110868773489465e-09
20,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-24,1,900196336.2952371,1.110868773489465e-09
21,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-25,1,900196336.2952371,1.110868773489465e-09
22,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-28,1,900196336.2952371,1.110868773489465e-09
23,"Manejo agricola, pecuario y forestal (plantaciones)",2001-01-31,1,900196336.2952371,1.110868773489465e-09
24,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-04,3,900196336.2952371,3.332606320468395e-09
25,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-08,1,900196336.2952371,1.110868773489465e-09
26,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-09,2,900196336.2952371,2.22173754697893e-09
27,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-10,1,900196336.2952371,1.110868773489465e-09
28,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-11,4,900196336.2952371,4.44347509395786e-09
29,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-12,1,900196336.2952371,1.110868773489465e-09
30,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-15,3,900196336.2952371,3.332606320468395e-09
31,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-18,4,900196336.2952371,4.44347509395786e-09
32,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-20,1,900196336.2952371,1.110868773489465e-09
33,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-24,2,900196336.2952371,2.22173754697893e-09
34,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-25,1,900196336.2952371,1.110868773489465e-09
35,"Manejo agricola, pecuario y forestal (plantaciones)",2001-02-26,1,900196336.2952371,1.110868773489465e-09
36,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-05,4,900196336.2952371,4.44347509395786e-09
37,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-09,4,900196336.2952371,4.44347509395786e-09
38,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-12,6,900196336.2952371,6.66521264093679e-09
39,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-13,2,900196336.2952371,2.22173754697893e-09
40,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-14,3,900196336.2952371,3.332606320468395e-09
41,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-16,1,900196336.2952371,1.110868773489465e-09
42,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-20,3,900196336.2952371,3.332606320468395e-09
43,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-22,4,900196336.2952371,4.44347509395786e-09
44,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-23,3,900196336.2952371,3.332606320468395e-09
45,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-24,2,900196336.2952371,2.22173754697893e-09
46,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-25,2,900196336.2952371,2.22173754697893e-09
